,Distributor Name,Sale Flag,Invoice No,Client Code,Client Name,Client Type,Brick Name,Team,Pack Code,Product,Description,Batch,Invoice Date,Units,Bonus,Discount,Price,Value Np
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5287,10000041,"Seven86 Medicos, GJ/B-242, Blk-15, KDA Scheme 36, Gulistan-e-Johar, Karachi./-",Retail,Gulistan-e-Johar,Falcons,PV12701,EvoCheck,Pulse Oximeter,0,10/10/2025,6,0,4800,4000,19200
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5291,10000041,"Seven86 Medicos, GJ/B-242, Blk-15, KDA Scheme 36, Gulistan-e-Johar, Karachi./-",Retail,Gulistan-e-Johar,Falcons,PV12701,EvoCheck,Pulse Oximeter,0,11/10/2025,6,0,4800,4000,19200
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5304,10000041,"Seven86 Medicos, GJ/B-242, Blk-15, KDA Scheme 36, Gulistan-e-Johar, Karachi./-",Retail,Gulistan-e-Johar,Falcons,PV10002,EvoCheck,GS700 BGM Test Strips 50's,212481401,18/10/2025,40,0,4482.72,2241.36,85171.68
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5295,10000489,"Real Medical Store, BZ/Shop-2, R-84, 15/A/5, Buffer Zone, Karachi./-",Retail,Buffer Zone,Falcons,PV13230,EvoCheck Go,BGM Meter Kit,Q25D141BP,15/10/2025,2,1,0,3000,6000
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5297,10000582,"MA Surgical & Mart, NZ/, Nazimabad, Karachi./-",Retail,Nazimabad,Falcons,PV13230,EvoCheck Go,BGM Meter Kit,Q25D141BP,16/10/2025,4,2,0,3000,12000
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5297,10000582,"MA Surgical & Mart, NZ/, Nazimabad, Karachi./-",Retail,Nazimabad,Falcons,PV13269,EvoCheck,Weighing Scale (Black),0,16/10/2025,2,0,0,2644.07,5288.14
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5298,10000110,"MS Medical & General Store, OT/, Orangi Town, Karachi./-",Retail,Orangi Town,Falcons,PV13230,EvoCheck Go,BGM Meter Kit,Q25D141BP,16/10/2025,2,1,0,3000,6000
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5309,10000174,"Tayyab Medical & General Store, FBA/1116, Block 3, Federal B Area, Karachi./-",Retail,Federal B Area,Falcons,PV13230,EvoCheck Go,BGM Meter Kit,Q24L131BP,20/10/2025,40,0,72000,3000,48000
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5299,10000302,"Aneesa Medical, OT/Sector 11, Faqeer Colony, Orangi Town, Karachi./-",Retail,Orangi Town,Falcons,PV13230,EvoCheck Go,BGM Meter Kit,Q25D141BP,16/10/2025,2,1,0,3000,6000
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5284,10000562,"Nadeem Medicos, OT/Shop NO 3-4, Plot# 60, Sector 7B,, Orangi Town, Karachi./-",Retail,Orangi Town,Falcons,PV13230,EvoCheck Go,BGM Meter Kit,Q25D141BP,06/10/2025,4,2,0,3000,12000
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5283,10000131,"Gift House Medical & General Store/C-59, Blk-13, Gulberg, Federal B Area, Karachi./-",Retail,Federal B Area,Falcons,PV13269,EvoCheck,Weighing Scale (Black),0,06/10/2025,2,0,0,2644.07,5288.14
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5307,10000165,"United Medical & Surgical Store, NZ/Near Abbasi Shaheed Hospital, Nazimabad, Karachi./-",Retail,Nazimabad,Falcons,PV10002,EvoCheck,GS700 BGM Test Strips 50's,212481401,20/10/2025,2,0,0,2241.36,4482.72
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5308,10000525,"Day to Day Mart & Pharmacy/, North Nazimabad, Karachi./-",Retail,North Nazimabad,Falcons,PV13230,EvoCheck Go,BGM Meter Kit,Q25D141BP,20/10/2025,4,2,0,3000,12000
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5293,10000527,"Swat Medical Store, OT/Mominabad, Orangi Town, Karachi./-",Retail,Orangi Town,Falcons,PV13269,EvoCheck,Weighing Scale (Black),0,15/10/2025,2,0,0,2644.07,5288.14
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5306,10000297,"Munna Mart & Medical, NN/Shop#B-2, Plot ST-4, Bhayani View, Block M, North Nazimabad, Karachi./-",Retail,North Nazimabad,Falcons,PV13269,EvoCheck,Weighing Scale (Black),0,20/10/2025,2,0,0,2644.07,5288.14
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5294,10000445,"DMA drug Mart, NK (5C/2)/R-23 & 50, Sector 5-C/2, North Karachi, Karachi./-",Retail,North Karachi,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031576,15/10/2025,5,0,0,1450.85,7254.25
,ALI HAJVERY PHARMA - OKARA,S,0033762,2534,GREEN PLUS PHARMACY/OPPOSITE REMAT SURGICAL HOSPITAL DEPALPUR/-,Retailer,DEPAL PUR,Falcons,PV10201,Actnise,Crm. 50gm 1's,ANC154-NB,09/10/2025,2,1,34.304,343.03,651.756
,ALI HAJVERY PHARMA - OKARA,S,0035317,2532,TARIQ MEDICAL STORE/BASIRPUR ROAD DEPALPUR/-,Retailer,DEPAL PUR,Falcons,PV10201,Actnise,Crm. 50gm 1's,ANC154-NB,14/10/2025,2,1,0,343.03,686.06
,ALI HAJVERY PHARMA - OKARA,S,0033434,2537,ZUBAIR PHARMACY/MULTAN ROAD ADA HABIBABAD/-,Retailer,HABIB ABAD,Falcons,PV10201,Actnise,Crm. 50gm 1's,ANC154-NB,09/10/2025,2,1,0,343.03,686.06
,ALI HAJVERY PHARMA - OKARA,S,0035622,2904,LIFE VITALS PHARMACY ( 2 )/TEHSIL ROAD D BLOCK OKARA/-,Retailer,OKARA-2,Falcons,PV10201,Actnise,Crm. 50gm 1's,ANC154-NB,15/10/2025,2,1,0,343.03,686.06
,ALI HAJVERY PHARMA - OKARA,S,0033578,2474,GREEN PHARMACY/OPPOSITE DHQ HOSPITAL TEHSEEL ROAD OKARA/-,Retailer,OKARA-2,Falcons,PV10201,Actnise,Crm. 50gm 1's,ANC154-NB,09/10/2025,3,1,51.456,343.03,977.634
,ALI HAJVERY PHARMA - OKARA,S,0035211,3031,ROYAL PHOARMACY**/OPPOSITE P.S.O PETROLEUM SERVICE M.A JINNAH ROAD OKARA/-,Retailer,OKARA-1,Falcons,PV10201,Actnise,Crm. 50gm 1's,ANC154-NB,14/10/2025,2,1,0,343.03,686.06
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0021340,10,UNITED MEDICAL CENTRE CHROHI/MAIN BAZAR CHARHOI/-,RETAIL,MAIN RD CHARHOI,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031575,20/10/2025,1,0,0,1450.85,1450.85
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0018345,892,"NEW MUHAMMAD DIN & SONS MEDICAL STORE/PURANI CHUNGI NO. 4, MIRPUR/-",RETAIL,F/3 CHONGI ROAD,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031575,04/10/2025,1,0,0,1450.85,1450.85
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0018365,985,USAMA MANZOOR M/S PULMANDA/MAIN BAZAR PULMANDA/-,RETAIL,PULMANDA,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031575,04/10/2025,1,0,0,1450.85,1450.85
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0019389,125,AL BADAR MEDICAL STOREMIRPUR/OPP DHQ MIRPUR/-,RETAIL,OPP DHQ HOSPITAL NEW,Falcons,PV10201,Actnise,Crm. 50gm 1's,ANC169-HC,10/10/2025,2,1,0,343.03,686.06
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0018980,152,"SHAHEEN CHEMIST & COSMETICS KALYAL/ALLAMA IQBAL ROAD, MIRPUR/-",RETAIL,KALYAL CHOWK NEW,Falcons,PV10002,EvoCheck,GS700 BGM Test Strips 50's,212481101,08/10/2025,1,0,0,2241.36,2241.36
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0018980,152,"SHAHEEN CHEMIST & COSMETICS KALYAL/ALLAMA IQBAL ROAD, MIRPUR/-",RETAIL,KALYAL CHOWK NEW,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031575,08/10/2025,1,0,0,1450.85,1450.85
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0020843,152,"SHAHEEN CHEMIST & COSMETICS KALYAL/ALLAMA IQBAL ROAD, MIRPUR/-",RETAIL,KALYAL CHOWK NEW,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031575,17/10/2025,2,0,0,1450.85,2901.7
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0018336,182,"JAN PHARMACY/KOTLI ROAD, MIRPUR/-",RETAIL,KOTLI ROAD,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031575,04/10/2025,3,0,0,1450.85,4352.55
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0019870,194,"SADIQ MEDICAL STORE E -2/SEC E/2 THOTAL, MIRPUR/-",DOCTOR PHARMACY,THOTHAL NEW,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031575,13/10/2025,1,0,0,1450.85,1450.85
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0018299,200,"NATIONAL MEDICAL HALL AND COSTMATICS/M M TOWN, MIRPUR/-",RETAIL,M M TOWN,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031575,04/10/2025,1,0,0,1450.85,1450.85
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0021237,212,"AL SAYYED M/S F/3 MIRPUR/F/3 CHONGI ROAD, MIRPUR/-",RETAIL,F/3 CHONGI ROAD,Falcons,PV10002,EvoCheck,GS700 BGM Test Strips 50's,212481101,20/10/2025,1,0,0,2241.36,2241.36
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0021167,239,HASSAN MEDICAL STORE MANGLA/MANGLA/-,RETAIL,MANGLA,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031575,20/10/2025,1,0,0,1450.85,1450.85
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0020341,802,S A PHARMACY OPP DHQ/OPP DHQ/-,RETAIL,OPP DHQ HOSPITAL NEW,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031575,15/10/2025,2,0,0,1450.85,2901.7
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0018799,102,"ALI PHARMACY OPP DHQ MIIPUR/OPP DHQ HOSPITAL,  MIRPUR/-",RETAIL,OPP DHQ HOSPITAL NEW,Falcons,PV10002,EvoCheck,GS700 BGM Test Strips 50's,212481101,07/10/2025,2,0,0,2241.36,4482.72
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0020561,102,"ALI PHARMACY OPP DHQ MIIPUR/OPP DHQ HOSPITAL,  MIRPUR/-",RETAIL,OPP DHQ HOSPITAL NEW,Falcons,PV10201,Actnise,Crm. 50gm 1's,ANC170-HC,16/10/2025,25,25,0,343.03,8575.75
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0019786,604,AL-NOOR MEDICAL STORE BHIMBHER/BHIMBHER/-,RETAIL,MAIN RD BHIMBHER,Falcons,PV10201,Actnise,Crm. 50gm 1's,ANC170-HC,11/10/2025,25,25,0,343.03,8575.75
,ATIF DISTRIBUTOR - MIRPUR AJK,R,0004400,604,AL-NOOR MEDICAL STORE BHIMBHER/BHIMBHER/-,RETAIL,MAIN RD BHIMBHER,Falcons,PV10201,Actnise,Crm. 50gm 1's,ANC170-HC,13/10/2025,-25,25,0,343.03,-8575.75
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0021935,846,AWAN M/S BURNALA/MAIN ROAD BARNALA/-,RETAIL,MAIN RD BURNALLA,Falcons,PV13230,EvoCheck Go,BGM Meter Kit,Q25D141b,23/10/2025,2,0,0,3000,6000
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0022144,94,QAYUM BROTHER M/S BHIMBER/BHIMBER/-,RETAIL,OPP DHQ BHIMBHER,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,BO31575,23/10/2025,1,0,0,1450.85,1450.85
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0019781,217,CHOUDHARY M/S BARNALA -MPAJK-70/MAIN ROAD BARNALA/-,RETAIL,MAIN RD BURNALLA,Falcons,PV10201,Actnise,Crm. 50gm 1's,ANC170-HC,11/10/2025,25,25,0,343.03,8575.75
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0019888,406,NEW ALI M/S BHALOT DADYAL/BHALOT DADYAL/-,RETAIL,MIAN ROAD DADYAL,Falcons,PV10002,EvoCheck,GS700 BGM Test Strips 50's,212481101,13/10/2025,1,0,0,2241.36,2241.36
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0018612,467,"USMAN MEDICAL STORE CHACKSAWARI- MPAJK-67/CHAKSWARI, DISTT. MIRPUR/-",RETAIL,COLOUNY CHOWK,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031575,06/10/2025,1,0,0,1450.85,1450.85
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0021907,474,HAMZA M/S ISLAM GARH/ISLAM GARH/-,RETAIL,ISLAMGARH CITY,Falcons,PV13201,Evo Joshanda,Sac. 30's,N4G009,22/10/2025,5,0,0,510,2550
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0018778,1030,HAMZA PHARMACY CHOWKI/-/-,RETAIL,CHOKI CITY,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031575,07/10/2025,1,0,0,1450.85,1450.85
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0018158,104,"BASHIR DRUGS HOUSE OPP DHQ MIRPUR/OPP DHQ HOSPITAL, MIRPUR/-",RETAIL,OPP DHQ HOSPITAL NEW,Falcons,PV10201,Actnise,Crm. 50gm 1's,ANC169-HC,03/10/2025,2,0,47.327,343.03,638.733
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0018159,113,"MADINA M/S MIRPUR/CHOWK SHAHEEDAN, MIRPUR/-",RETAIL,CHOWK SHAHEDAAN NEW,Falcons,PV10002,EvoCheck,GS700 BGM Test Strips 50's,212481101,03/10/2025,6,0,0,2241.36,13448.16
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0020153,119,"ZAIB MEDICAL STORE/OPP DHQ HOSPITAL,  MIRPUR/-",RETAIL,OPP DHQ HOSPITAL NEW,Falcons,PV10201,Actnise,Crm. 50gm 1's,ANC170-HC,14/10/2025,4,2,0,343.03,1372.12
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0018319,231,UMAIR M/S MOIL/MOIL CITY/-,RETAIL,MOEIL,Falcons,PV10201,Actnise,Crm. 50gm 1's,ANC169-HC,04/10/2025,2,0,47.327,343.03,638.733
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0019087,287,SHAHEEN M/S JATLAN     MPAJK-49/JATLAN/-,RETAIL,JATLAN BAZAR,Falcons,PV13230,EvoCheck Go,BGM Meter Kit,Q25D141B,08/10/2025,2,0,0,3000,6000
,ATIF DISTRIBUTOR - MIRPUR AJK,R,0004190,287,SHAHEEN M/S JATLAN     MPAJK-49/JATLAN/-,RETAIL,JATLAN BAZAR,Falcons,PV13230,EvoCheck Go,BGM Meter Kit,Q25D141B,09/10/2025,-2,0,0,3000,-6000
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0019133,287,SHAHEEN M/S JATLAN     MPAJK-49/JATLAN/-,RETAIL,JATLAN BAZAR,Falcons,PV13230,EvoCheck Go,BGM Meter Kit,Q25D141B,09/10/2025,0,1,0,3000,0
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0019133,287,SHAHEEN M/S JATLAN     MPAJK-49/JATLAN/-,RETAIL,JATLAN BAZAR,Falcons,PV13230,EvoCheck Go,BGM Meter Kit,Q25D141B,09/10/2025,2,0,0,3000,6000
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0018784,355,JANDALA M/S JANDALA/JANDALA/-,RETAIL,MAIN RD JANDALLA,Falcons,PV10201,Actnise,Crm. 50gm 1's,ANC169-HC,07/10/2025,4,0,94.654,343.03,1277.466
,ATIF DISTRIBUTOR - MIRPUR AJK,R,0004728,385,ARSLAN MEDICAL STORE DHERI WATTAN/MAIN ROAD DHERI WATTAN/-,RETAIL,OPP DHQ BHIMBHER,Falcons,PV10002,EvoCheck,GS700 BGM Test Strips 50's,212480406,20/10/2025,-1,0,0,2241.36,-2241.36
,ATIF DISTRIBUTOR - MIRPUR AJK,I,0018236,522,MIDBENCEY WELFARE TRAST HOSPITAL/ISLAM GARH/-,INSTITUTION,ISLAMGARH CITY,Falcons,PV10201,Actnise,Crm. 50gm 1's,ANC169-HC,03/10/2025,4,0,94.654,343.03,1277.466
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0019478,53,IFTIKHAR MEDICAL STORE/MAIN ROAD DADYAL/-,RETAIL,MIAN ROAD DADYAL,Falcons,PV13201,Evo Joshanda,Sac. 30's,N4G009,10/10/2025,1,0,0,510,510
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0020626,549,"NEW MIRPUR M/STORE ARYAM PUL/RATHOA HARYAM BRIDGE, MIRPUR/-",RETAIL,NEW CITY,Falcons,PV13201,Evo Joshanda,Sac. 30's,N4G009,16/10/2025,1,0,0,510,510
,ATIF DISTRIBUTOR - MIRPUR AJK,R,0004623,549,"NEW MIRPUR M/STORE ARYAM PUL/RATHOA HARYAM BRIDGE, MIRPUR/-",RETAIL,NEW CITY,Falcons,PV13201,Evo Joshanda,Sac. 30's,N4G009,17/10/2025,-1,0,0,510,-510
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0021164,734,"NEW FRIENDS MEDICAL HAAL CHOWK MIRPUR/CHOWK SHAHEDAN,  MIRPUR/-",RETAIL,CHOWK SHAHEDAAN NEW,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031575,20/10/2025,2,0,0,1450.85,2901.7
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0021776,934,H & R PHARMACY & COSMETICS/-/-,RETAIL,CHECHIAN,Falcons,PV13230,EvoCheck Go,BGM Meter Kit,Q25D141b,22/10/2025,2,0,0,3000,6000
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0021776,934,H & R PHARMACY & COSMETICS/-/-,RETAIL,CHECHIAN,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,BO31575,22/10/2025,1,0,0,1450.85,1450.85
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0018997,940,"SHAHEEN CHEMIST DADYAL/OPP. THQ HOSPITAL,  DADYAL/-",RETAIL,MIAN ROAD DADYAL,Falcons,PV10002,EvoCheck,GS700 BGM Test Strips 50's,212481101,08/10/2025,5,0,0,2241.36,11206.8
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0018997,940,"SHAHEEN CHEMIST DADYAL/OPP. THQ HOSPITAL,  DADYAL/-",RETAIL,MIAN ROAD DADYAL,Falcons,PV13269,EvoCheck,Weighing Scale (Black),---,08/10/2025,2,0,0,2644.07,5288.14
,ATIF DISTRIBUTOR - MIRPUR AJK,I,0019765,964,CITY HOSPITAL BHIMBER/BHIMBER/-,HOSPITAL PHARMACY,MAIN RD BHIMBHER,Falcons,PV10201,Actnise,Crm. 50gm 1's,ANC170-HC,11/10/2025,25,25,0,343.03,8575.75
,ATIF DISTRIBUTOR - MIRPUR AJK,S,0020530,986,AL SAYYED M/S MANGLA/BUS STOP MANGLA/-,RETAIL,MANGLA,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031575,16/10/2025,1,0,0,1450.85,1450.85
